|foundation_model|aggregator|classifier|fold|benign_auroc|bowens_auroc|bcc_auroc|scc_auroc|benign_auprc|bowens_auprc|bcc_auprc|scc_auprc
75|gigapath|GAP|lr|0|0.8339580209895052|0.7315315315315316|0.9064830751577739|0.9793814432989691|0.7650550187356266|0.5662983586029153|0.772859703707214|0.8278711484593837
76|gigapath|GAP|lr|1|0.8461829176114891|0.7265948632974316|0.9467120181405896|0.9742268041237113|0.7839221031136129|0.5936445990986249|0.8233681778167994|0.8270100069013112
77|gigapath|GAP|lr|2|0.8297491039426523|0.6617147707979626|0.928780487804878|0.976897689768977|0.7423058892229902|0.5428289601448273|0.829531150404476|0.7893790849673202
78|gigapath|GAP|lr|3|0.8192419825072887|0.7305232558139535|0.8979591836734694|0.9914529914529915|0.8004807424882947|0.5344921837998801|0.6985257770836201|0.7856701940035274
79|gigapath|GAP|lr|4|0.7829122340425532|0.7085185185185185|0.8587301587301587|0.9821428571428571|0.72152759743399|0.6052048305369012|0.6054332053771745|0.7163265306122448
80|gigapath|GAP|MLP|0|0.75|0.6536036036036037|0.8559954102122777|0.9381443298969072|0.715372029429592|0.4805480370443261|0.7368838768838769|0.6802721088435373
81|gigapath|GAP|MLP|1|0.7970521541950113|0.671913835956918|0.9172335600907029|0.9755154639175257|0.7218227006073537|0.5272979116641507|0.717497739931255|0.7979166666666666
82|gigapath|GAP|MLP|2|0.8541218637992831|0.6392190152801358|0.9029268292682927|0.9702970297029704|0.7885726941252433|0.4064653369107044|0.7573931049426689|0.6319444444444444
83|gigapath|GAP|MLP|3|0.788232175987278|0.6805232558139535|0.8629737609329446|0.9886039886039886|0.7535957719895499|0.4669469856527111|0.6661752372096829|0.7591269841269842
84|gigapath|GAP|MLP|4|0.7722739361702128|0.6244444444444444|0.7677248677248677|0.9574175824175825|0.6949721324718402|0.39352444006523135|0.46039908312914835|0.5930115635997989
85|uni|GAP|MLP|0|0.7574962518740631|0.7022522522522523|0.8261617900172117|0.9720176730486009|0.7246463026687603|0.526173724304696|0.7236747998948294|0.8040230446245483
86|uni|GAP|MLP|1|0.8065003779289494|0.6669428334714167|0.9087301587301587|0.9652061855670102|0.7234726159444645|0.5271579337393529|0.7610767654579946|0.8519009216589861
87|uni|GAP|MLP|2|0.8462365591397849|0.6859083191850595|0.9102439024390243|0.9933993399339934|0.7859567839512394|0.43681492617252454|0.7564681441207242|0.8734126984126983
88|uni|GAP|MLP|3|0.7688841770474424|0.7093023255813954|0.8793731778425655|0.9905033238366572|0.7402912594125235|0.47697944546574406|0.6526309485732843|0.8949445616112284
89|uni|GAP|MLP|4|0.7736037234042554|0.6874074074074075|0.8544973544973544|0.9697802197802198|0.698589698448933|0.49505252113576925|0.621007090946806|0.6158428872714585
90|prism|GAP|MLP|0|0.7436281859070464|0.6981981981981982|0.865748709122203|0.9852724594992637|0.7029857491819226|0.5292493508864521|0.7595549298518591|0.8210884353741497
91|prism|GAP|MLP|1|0.7951625094482236|0.7091963545981773|0.9484126984126984|0.9806701030927835|0.7118199356363977|0.5760951221999243|0.8784021117437799|0.8571189839572193
92|prism|GAP|MLP|2|0.8620071684587813|0.6494057724957556|0.9400000000000001|0.9702970297029703|0.7610623139530397|0.4658962338890925|0.8046634403007428|0.6827380952380951
93|prism|GAP|MLP|3|0.7877020938245428|0.6813953488372092|0.9245626822157433|0.9914529914529915|0.7247697276530796|0.44834585686407497|0.7575074460442502|0.9108175774842442
94|prism|GAP|MLP|4|0.75|0.6685185185185185|0.8835978835978836|0.9546703296703297|0.6850926681815542|0.47596358101496344|0.6647380097889171|0.5280303030303031
95|prism|PRISM|MLP|0|0.8354572713643178|0.7963963963963965|0.970166379804934|0.9911634756995581|0.7392114521004619|0.6733088436020042|0.957563025210084|0.8917233560090703
96|prism|PRISM|MLP|1|0.8983371126228269|0.8670256835128417|0.9841269841269841|0.9896907216494846|0.8389709430616619|0.7941784225581233|0.9608627005178729|0.8897186147186148
97|prism|PRISM|MLP|2|0.9175627240143369|0.8556876061120543|0.9546341463414635|0.9933993399339934|0.8650256668466043|0.7513237246186598|0.9334105263157896|0.9107142857142856
98|prism|PRISM|MLP|3|0.9037900874635567|0.9401162790697675|0.9916180758017493|0.9933523266856601|0.857349709284714|0.8773021706079249|0.9710409873833519|0.8782627865961201
99|prism|PRISM|MLP|4|0.8683510638297873|0.8555555555555555|0.9587301587301587|0.9793956043956044|0.7660645103571025|0.7851559424178575|0.9354679802955668|0.723299319727891
100|gigapath|gigapath_cls|MLP|0|0.724512743628186|0.4788288288288288|0.7464142283419392|0.8512518409425626|0.6704771335194404|0.3009545015059961|0.5126737548876796|0.523227367870225
101|gigapath|gigapath_cls|MLP|1|0.7150415721844293|0.5704225352112676|0.699546485260771|0.9510309278350516|0.5934350899396367|0.3821437652796576|0.40600645272776|0.6844792462439521
102|gigapath|gigapath_cls|MLP|2|0.7831541218637993|0.5462648556876062|0.7721951219512195|0.9389438943894389|0.6709644487862275|0.3457350917712111|0.5516737693493711|0.47676767676767673
103|gigapath|gigapath_cls|MLP|3|0.7121653856347734|0.5880813953488372|0.7346938775510204|0.9715099715099715|0.6617578415672631|0.35734158914477887|0.40637251595073304|0.6773809523809524
104|gigapath|gigapath_cls|MLP|4|0.652593085106383|0.5196296296296297|0.6465608465608466|0.973901098901099|0.6003317232908635|0.3135775486883633|0.32629024441211885|0.7638888888888888
105|gigapath|gigapath_pool|MLP|0|0.6937781109445277|0.6018018018018019|0.8049340218014917|0.9013254786450662|0.6241852629649978|0.4656689518526967|0.6442759196571576|0.666017316017316
106|gigapath|gigapath_pool|MLP|1|0.7860922146636432|0.6391880695940348|0.8605442176870748|0.9768041237113402|0.7061786610573708|0.47348906391896917|0.6556876101975746|0.7863553113553113
107|gigapath|gigapath_pool|MLP|2|0.839426523297491|0.6447368421052632|0.9058536585365853|0.9702970297029703|0.7677660188357223|0.43063093063579727|0.7515817464610632|0.6001683501683502
108|gigapath|gigapath_pool|MLP|3|0.802014312218394|0.6680232558139535|0.8684402332361516|0.9876543209876543|0.748504200597498|0.4595800865713764|0.6196773658646078|0.7919753086419754
109|gigapath|gigapath_pool|MLP|4|0.7779255319148936|0.6155555555555556|0.7756613756613757|0.9587912087912087|0.7179435620292025|0.40629932676015346|0.4863009225475118|0.5603785103785104
110|prism|PRISM|xgb|0|0.8279610194902549|0.777027027027027|0.9569707401032702|0.9955817378497791|0.7585265867051896|0.6576953945089574|0.9358054226475279|0.9379251700680272
111|prism|PRISM|xgb|1|0.8601662887377173|0.8425849212924605|0.9739229024943311|0.9884020618556701|0.784138876002079|0.772339886169208|0.9379345571296036|0.8784722222222222
112|prism|PRISM|xgb|2|0.9017921146953405|0.8297962648556876|0.9580487804878048|0.9900990099009901|0.8107875323688406|0.7333081587392306|0.9303067292644758|0.8357142857142856
113|prism|PRISM|xgb|3|0.8802014312218395|0.8976744186046511|0.9938046647230321|0.9981006647673315|0.8292753054184616|0.8120174271222835|0.9789650044446543|0.9765432098765434
114|prism|PRISM|xgb|4|0.8513962765957447|0.8351851851851851|0.9603174603174602|0.9876373626373626|0.7877545317329917|0.7179087941232117|0.9231781868608113|0.7798185941043083
115|prism|PRISM|lr|0|0.8452023988005997|0.8666666666666667|0.9363166953528399|0.9911634756995582|0.783122287497588|0.7603312991007822|0.8996193621193622|0.9038342609771182
116|prism|PRISM|lr|1|0.8862433862433863|0.8562551781275892|0.9546485260770975|0.9871134020618557|0.821393616556669|0.7574122698534927|0.8946948649605897|0.8513257575757576
117|prism|PRISM|lr|2|0.9111111111111111|0.8361629881154499|0.9565853658536586|0.9323432343234324|0.817255553216308|0.6988869889682676|0.9294157221652251|0.8272946859903382
118|prism|PRISM|lr|3|0.8929234031274847|0.9229651162790699|0.9905247813411079|0.9914529914529915|0.8454311708483432|0.8797563078530221|0.9673541138694284|0.7856701940035274
119|prism|PRISM|lr|4|0.8500664893617021|0.84|0.944973544973545|0.9766483516483516|0.7783216375473183|0.7300966670329019|0.893513107690896|0.6828592042877757
120|gigapath|gigapath_cls|xgb|0|0.7091454272863568|0.5891891891891892|0.7194492254733218|0.946980854197349|0.6602717868665882|0.3673053739642338|0.49906779666018247|0.6494592708878423
121|gigapath|gigapath_cls|xgb|1|0.7312925170068028|0.5907207953603977|0.7732426303854876|0.952319587628866|0.6017943552889871|0.4667456001115452|0.4264661208370042|0.731187678062678
122|gigapath|gigapath_cls|xgb|2|0.7641577060931899|0.5810696095076401|0.8097560975609757|0.9587458745874587|0.6919054618464534|0.36475841957579647|0.5371229556509941|0.5549242424242424
123|gigapath|gigapath_cls|xgb|3|0.7394646170156374|0.6200581395348838|0.815597667638484|0.98005698005698|0.7000769343421817|0.3745096787905289|0.5771980733641063|0.7177359677359678
124|gigapath|gigapath_cls|xgb|4|0.7220744680851063|0.5911111111111111|0.78994708994709|0.9436813186813187|0.6196008658252364|0.4281449170214847|0.46288824543386736|0.589396628216504
125|gigapath|gigapath_cls|lr|0|0.7410044977511244|0.6725225225225225|0.802065404475043|0.8335787923416789|0.6758523677336044|0.49556506815628465|0.6942351781637496|0.5983577165806081
126|gigapath|gigapath_cls|lr|1|0.8170823885109599|0.6992543496271748|0.8503401360544217|0.9716494845360825|0.7850242795798258|0.528056812951001|0.6476422011076743|0.7770299145299145
127|gigapath|gigapath_cls|lr|2|0.8419354838709677|0.6799660441426145|0.9239024390243902|0.9636963696369637|0.7571110626954227|0.474323467098618|0.7713352115755401|0.5687830687830687
128|gigapath|gigapath_cls|lr|3|0.8107606679035251|0.7040697674418606|0.896865889212828|0.9838556505223172|0.7634925226020834|0.4926020064586575|0.7419886652069128|0.8044363044363045
129|gigapath|gigapath_cls|lr|4|0.7982047872340425|0.7488888888888888|0.8539682539682539|0.9807692307692307|0.7182578873305219|0.6150691145489207|0.6510878882047486|0.7337257980115122
130|gigapath|gigapath_pool|xgb|0|0.7402548725637181|0.6094594594594595|0.7538726333907056|0.9410898379970545|0.6887938206546771|0.39908251970425856|0.6021480682235765|0.7243059385916528
131|gigapath|gigapath_pool|xgb|1|0.7751322751322752|0.6246893123446562|0.8441043083900226|0.9742268041237113|0.6890375891486223|0.4952028742498111|0.5693953623264205|0.7279523172905527
132|gigapath|gigapath_pool|xgb|2|0.7788530465949821|0.5776740237691002|0.8160975609756098|0.966996699669967|0.6720340502207975|0.37332186516513755|0.5826411375264978|0.5715969215969217
133|gigapath|gigapath_pool|xgb|3|0.8316989133315664|0.6328488372093023|0.8247084548104957|0.9857549857549858|0.771224358648139|0.43240859138307364|0.6056253827022072|0.7481701940035274
134|gigapath|gigapath_pool|xgb|4|0.7636303191489362|0.6103703703703702|0.7841269841269841|0.9725274725274725|0.6881952590612301|0.4506800210024675|0.550977617670596|0.676984126984127
