,group1,group2,test_stat,p_value
160,"('gigapath', 'abmil-8_heads', 'MLP')","('resnet18', 'abmil-8_heads', 'MLP')",820.0,9.094947017729282e-13
161,"('gigapath', 'abmil-8_heads', 'MLP')","('resnet18', 'gabmil-1_heads', 'MLP')",819.0,1.8189894035458565e-12
162,"('gigapath', 'abmil-8_heads', 'MLP')","('resnet18', 'gabmil-8_heads', 'MLP')",820.0,9.094947017729282e-13
163,"('gigapath', 'abmil-8_heads', 'MLP')","('uni', 'GAP', 'MLP')",754.0,1.7449474398745224e-07
164,"('gigapath', 'abmil-8_heads', 'MLP')","('uni', 'GAP', 'lr')",666.0,0.00017859497074823594
165,"('gigapath', 'abmil-8_heads', 'MLP')","('uni', 'GAP', 'xgb')",743.0,5.278707249090075e-07
166,"('gigapath', 'abmil-8_heads', 'MLP')","('uni', 'abmil-1_heads', 'MLP')",205.0,0.9975646408365719
167,"('gigapath', 'abmil-8_heads', 'MLP')","('uni', 'abmil-8_heads', 'MLP')",340.0,0.8264173542529534
168,"('gigapath', 'abmil-8_heads', 'MLP')","('uni', 'gabmil-1_heads', 'MLP')",241.0,0.9892269699294047
169,"('gigapath', 'abmil-8_heads', 'MLP')","('uni', 'gabmil-8_heads', 'MLP')",263.0,0.9766946870586253
170,"('gigapath', 'gabmil-1_heads', 'MLP')","('gigapath', 'gabmil-8_heads', 'MLP')",418.0,0.46029613415157655
171,"('gigapath', 'gabmil-1_heads', 'MLP')","('gigapath', 'gigapath_cls', 'MLP')",803.0,1.8826540326699615e-10
172,"('gigapath', 'gabmil-1_heads', 'MLP')","('gigapath', 'gigapath_cls', 'lr')",784.0,4.527464625425637e-09
173,"('gigapath', 'gabmil-1_heads', 'MLP')","('gigapath', 'gigapath_cls', 'xgb')",816.0,6.366462912410498e-12
174,"('gigapath', 'gabmil-1_heads', 'MLP')","('gigapath', 'gigapath_pool', 'MLP')",819.0,1.8189894035458565e-12
175,"('gigapath', 'gabmil-1_heads', 'MLP')","('gigapath', 'gigapath_pool', 'lr')",772.0,2.2373569663614035e-08
176,"('gigapath', 'gabmil-1_heads', 'MLP')","('gigapath', 'gigapath_pool', 'xgb')",801.0,2.7921487344428897e-10
177,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'GAP', 'MLP')",737.0,5.3304057858198304e-08
178,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'GAP', 'lr')",609.0,0.001121015716033736
179,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'GAP', 'xgb')",820.0,9.094947017729282e-13
180,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'PRISM', 'MLP')",109.0,0.9999559736792007
181,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'PRISM', 'lr')",223.0,0.9837856343113341
